DATE,GDP,GDP_standardized
1947-01-01,243.164,-0.9339813930283414
1947-04-01,245.968,-0.9336064413883213
1947-07-01,249.585,-0.9331227751679385
1947-10-01,259.745,-0.9317641772140851
1948-01-01,265.742,-0.9309622567486069
1948-04-01,272.567,-0.9300496158987004
1948-07-01,279.196,-0.9291631842219195
1948-10-01,280.366,-0.9290067315047926
1949-01-01,275.034,-0.9297197279900237
1949-04-01,271.351,-0.9302122197482955
1949-07-01,272.889,-0.9300065579714227
1949-10-01,270.627,-0.9303090332245346
1950-01-01,280.828,-0.9289449527395681
1950-04-01,290.383,-0.9276672555496992
1950-07-01,308.153,-0.9252910463331661
1950-10-01,319.945,-0.9237142168969615
1951-01-01,336.0,-0.9215673379452767
1951-04-01,344.09,-0.9204855409524938
1951-07-01,351.385,-0.9195100515751945
1951-10-01,356.178,-0.9188691303160588
1952-01-01,359.82,-0.9183821210888999
1952-04-01,361.03,-0.9182203195609311
1952-07-01,367.701,-0.9173282716327661
1952-10-01,380.812,-0.9155750651590484
1953-01-01,387.98,-0.9146165582561722
1953-04-01,391.749,-0.9141125665545903
1953-07-01,391.171,-0.9141898568712562
1953-10-01,385.97,-0.9148853360009799
1954-01-01,385.345,-0.9149689111703851
1954-04-01,386.121,-0.9148651442400515
1954-07-01,390.996,-0.9142132579186898
1954-10-01,399.734,-0.9130448101902674
1955-01-01,413.073,-0.9112611154947505
1955-04-01,421.532,-0.9101299757219508
1955-07-01,430.221,-0.9089680802868098
1955-10-01,437.092,-0.9080492883044351
1956-01-01,439.746,-0.9076943947050722
1956-04-01,446.01,-0.9068567709272239
1956-07-01,451.191,-0.9061639662029214
1956-10-01,460.463,-0.9049241118497591
1957-01-01,469.779,-0.9036783738046706
1957-04-01,472.025,-0.9033780380758956
1957-07-01,479.49,-0.902379816252518
1957-10-01,474.864,-0.9029984062263887
1958-01-01,467.54,-0.9039777734915484
1958-04-01,471.978,-0.9033843229286348
1958-07-01,485.841,-0.9015305588110885
1958-10-01,499.555,-0.8996967190139284
1959-01-01,510.33,-0.8982558830933802
1959-04-01,522.653,-0.8966080481932487
1959-07-01,525.034,-0.8962896602278821
1959-10-01,528.6,-0.8958128137413228
1960-01-01,542.648,-0.8939343113736327
1960-04-01,541.08,-0.8941439847586368
1960-07-01,545.604,-0.893539034252413
1960-10-01,540.197,-0.8942620597579727
1961-01-01,545.018,-0.8936173943312475
1961-04-01,555.545,-0.8922097210379193
1961-07-01,567.664,-0.8905891650730817
1961-10-01,580.612,-0.8888577550035449
1962-01-01,594.013,-0.8870657696512231
1962-04-01,600.366,-0.8862162447692515
1962-07-01,609.027,-0.8850580935016998
1962-10-01,612.28,-0.8846231014599789
1963-01-01,621.672,-0.8833672006742909
1963-04-01,629.752,-0.8822867408842184
1963-07-01,644.444,-0.8803221226619727
1963-10-01,653.938,-0.8790525824086377
1964-01-01,669.822,-0.8769285696233022
1964-04-01,678.674,-0.8757448777839804
1964-07-01,692.031,-0.8739587761235847
1964-10-01,697.319,-0.8732516633302798
1965-01-01,717.79,-0.8705142756616447
1965-04-01,730.191,-0.8688560105803714
1965-07-01,749.323,-0.8662976743546702
1965-10-01,771.857,-0.8632844217668618
1966-01-01,795.734,-0.8600915828550352
1966-04-01,804.981,-0.8588550715086491
1966-07-01,819.638,-0.8568951334958903
1966-10-01,833.302,-0.8550679797122828
1967-01-01,844.17,-0.8536147078065269
1967-04-01,848.983,-0.8529711121419702
1967-07-01,865.233,-0.850798157737431
1967-10-01,881.439,-0.8486310870248178
1968-01-01,909.387,-0.8448938728895526
1968-04-01,934.344,-0.8415566160849935
1968-07-01,950.825,-0.8393527722978421
1968-10-01,968.03,-0.8370521150344515
1969-01-01,993.337,-0.8336680561350254
1969-04-01,1009.02,-0.8315709211241709
1969-07-01,1029.956,-0.828771353529498
1969-10-01,1038.147,-0.8276760507893393
1970-01-01,1051.2,-0.8259306000913423
